ID,item_cnt_month
0,0.72558457
1,0.28676254
2,1.2709867
3,0.7547767
4,4.569367
5,0.9551706
6,1.0459834
7,0.24340902
8,0.99410516
9,0.8143334
10,2.2409427
11,0.23477566
12,0.22073089
13,0.4255883
14,1.7537668
15,2.31319
16,0.09225402
17,0.24290408
18,1.2403733
19,0.34722626
20,0.42035282
21,0.5198142
22,2.1074305
23,0.5281526
24,1.2665058
25,0.5172923
26,0.46896654
27,0.6348858
28,0.89430404
29,3.111425
30,0.7501759
31,0.3466329
32,0.5538194
33,0.7654322
34,0.085996404
35,0.09789405
36,0.096009344
37,0.67940116
38,0.20115237
39,0.17871292
40,0.8426013
41,1.5850506
42,3.5982018
43,3.6505418
44,1.2759717
45,0.54996026
46,1.4204713
47,0.31861594
48,0.57311535
49,0.85479504
50,1.1009175
51,0.59734654
52,0.44534424
53,0.30862296
54,4.429199
55,2.476919
56,1.9696206
57,1.7491025
58,3.635254
59,2.011869
60,3.6149704
61,0.4962134
62,0.30913937
63,0.3495969
64,2.4925437
65,0.21682967
66,0.7237867
67,0.13024996
68,0.64516586
69,0.12834264
70,0.5526716
71,1.3627837
72,0.23117235
73,1.102855
74,3.998867
75,3.681701
76,0.29577395
77,1.8182135
78,0.5836776
79,1.1177278
80,1.256601
81,1.7869145
82,1.0005562
83,0.31505156
84,1.4041013
85,0.9743061
86,0.96984845
87,0.07819628
88,2.6063466
89,0.8256862
90,0.6799558
91,0.6716715
92,1.8373804
93,0.13079798
94,0.6128504
95,0.06894515
96,0.11266928
97,0.6179735
98,0.7925873
99,1.3307067
100,1.1502168
101,0.85423094
102,0.5257288
103,0.63230544
104,0.17234464
105,0.6555712
106,0.7232493
107,0.77830416
108,0.21114965
109,0.21599796
110,0.2902187
111,0.5059446
112,0.3395471
113,0.5459518
114,0.28311458
115,0.435039
116,0.43677145
117,0.17504302
118,7.2574496
119,0.18200132
120,0.16462283
121,0.16986492
122,0.44690943
123,0.48570505
124,0.5219603
125,0.851732
126,0.7663163
127,0.18135424
128,0.45926604
129,0.27674022
130,0.39505026
131,0.07310185
132,1.0182229
133,2.742591
134,0.15599635
135,1.8221607
136,0.9845097
137,0.96460164
138,1.7101728
139,1.6222723
140,0.28610903
141,0.33650693
142,0.15612894
143,0.4810574
144,0.39268115
145,0.39268115
146,0.39268115
147,0.11093381
148,0.1934562
149,0.13618523
150,0.15396997
151,0.5651962
152,4.2306232
153,0.23330224
154,0.15282129
155,0.20604007
156,0.22808695
157,0.2642146
158,0.113515735
159,0.24438791
160,0.6070866
161,0.19937801
162,0.2804039
163,0.99898833
164,0.49649864
165,0.18527606
166,0.35732463
167,0.076972865
168,0.31412327
169,0.21175459
170,0.19937801
171,0.6163367
172,0.16511224
173,2.2423196
174,1.4284476
175,3.3112931
176,1.3857584
177,0.36653367
178,0.25566998
179,0.18884875
180,1.3232327
181,0.17302719
182,0.14227338
183,0.22981071
184,0.16245162
185,0.11722519
186,0.20834687
187,0.20060204
188,0.21599796
189,0.21599796
190,0.23532818
191,0.8117574
192,0.6610226
193,0.2569325
194,0.2681893
195,0.16890916
196,0.5999749
197,3.3970387
198,1.3850853
199,3.681701
200,0.056264073
201,3.681701
202,0.15805675
203,0.919213
204,0.17374918
205,2.0517552
206,0.953509
207,0.123364024
208,1.8528472
209,0.429794
210,0.15584067
211,0.16917197
212,0.074437015
213,0.27744037
214,0.11443444
215,0.14782391
216,0.31455863
217,0.107709795
218,1.403556
219,0.49104026
220,0.33340877
221,1.8182135
222,4.6436057
223,0.865959
224,2.7171412
225,0.39807072
226,0.9223632
227,0.19779485
228,0.16773102
229,0.6304112
230,4.566841
231,0.69218254
232,0.09390367
233,0.19554923
234,0.09843282
235,0.08725422
236,0.44740847
237,0.78501505
238,0.17547199
239,0.33749864
240,0.32353956
241,0.15331852
242,0.10836691
243,2.7031736
244,0.1934562
245,0.29429108
246,1.9540015
247,0.7986215
248,0.514951
249,0.10676543
250,0.69479173
251,0.28702018
252,0.37513497
253,1.1165714
254,0.7346164
255,4.2306232
256,0.2804039
257,0.26645687
258,0.3895004
259,0.18293023
260,0.08375356
261,0.19318263
262,0.28862903
263,0.058479223
264,0.18073818
265,0.9279125
266,0.106470674
267,0.20556691
268,0.5464075
269,0.25220132
270,0.9730859
271,0.2071448
272,0.12691395
273,0.90332013
274,12.224985
275,0.14016412
276,0.1689775
277,1.0703288
278,0.4460273
279,0.7361823
280,0.21814175
281,0.16826834
282,0.11149849
283,0.45291555
284,0.33423212
285,0.19662124
286,0.04397786
287,0.902584
288,0.1694417
289,0.27958792
290,0.09572687
291,0.15956852
292,0.39438635
293,0.14858712
294,0.53728026
295,1.3661069
296,0.29661015
297,0.2762131
298,0.11722519
299,0.5360089
300,0.22241947
301,0.84311634
302,0.9599987
303,0.59887165
304,0.13360776
305,0.109633274
306,0.27834415
307,0.23363525
308,0.19194028
309,0.6070866
310,0.48241422
311,0.6114095
312,0.41379637
313,0.32385555
314,0.05858671
315,0.6637063
316,0.31326687
317,1.7518998
318,0.13768212
319,0.23757878
320,0.637368
321,0.08832887
322,0.6979471
323,0.19795652
324,0.47625813
325,0.50094473
326,0.18919511
327,0.19208163
328,0.21707995
329,0.21909443
330,0.2243178
331,0.30328128
332,0.10507273
333,0.28343782
334,0.37108278
335,0.24677995
336,0.3747979
337,0.45821863
338,0.1742292
339,0.7499279
340,0.15151507
341,0.13480915
