ID,item_cnt_month
0,0.48031378
1,0.4706697
2,1.4128559
3,1.2517117
4,4.894859
5,0.6356434
6,0.37592396
7,0.13727319
8,1.0777825
9,0.48666197
10,3.3065548
11,0.0
12,0.11043663
13,0.5543039
14,2.7891226
15,2.5073524
16,0.020958368
17,0.16720931
18,1.4122899
19,0.2889511
20,0.3715959
21,0.30970454
22,1.5991307
23,0.54186463
24,1.66232
25,0.3381936
26,0.2868083
27,0.55220264
28,1.146992
29,3.9138978
30,1.0060829
31,0.0
32,1.1842612
33,1.5267115
34,0.08697435
35,0.09948799
36,0.11129233
37,1.3619661
38,0.139699
39,0.122855805
40,0.84527177
41,1.2811182
42,3.6493084
43,4.26822
44,1.1049364
45,0.5125361
46,1.1780506
47,0.38870734
48,0.49999094
49,0.6976762
50,1.0993552
51,0.43481568
52,0.39331812
53,0.36592183
54,4.657168
55,2.2231598
56,2.129977
57,1.5003759
58,4.965106
59,2.2757957
60,3.8933268
61,0.42547488
62,0.46654254
63,0.31498742
64,3.3513246
65,0.46981665
66,0.6613
67,0.12984985
68,0.8736651
69,0.11768437
70,0.48318562
71,0.6921534
72,0.19351979
73,1.14313
74,6.292563
75,5.0320706
76,0.3615934
77,3.7910419
78,0.44788677
79,1.7160851
80,1.8174419
81,2.4301946
82,1.074812
83,0.16904329
84,1.3664885
85,0.95711267
86,0.53480136
87,0.032757398
88,3.0325692
89,0.94621223
90,0.8886361
91,0.5913425
92,1.9361545
93,0.18262331
94,0.4076097
95,0.02558937
96,0.04677574
97,0.45323926
98,0.9332325
99,1.6823277
100,0.8943947
101,0.07047822
102,0.4730516
103,0.43664557
104,0.20655474
105,0.54904854
106,0.4168416
107,0.9894027
108,0.12617792
109,0.2982693
110,0.29581928
111,0.4048553
112,0.52564985
113,0.56486714
114,0.23911716
115,0.4552126
116,0.4528047
117,0.06594271
118,9.880034
119,0.13664933
120,0.11577811
121,0.117405996
122,0.3750221
123,0.52025867
124,0.2808613
125,0.8906493
126,0.5780044
127,0.12992448
128,0.20660742
129,0.2718461
130,0.2012246
131,0.030175988
132,0.69093436
133,2.7058935
134,0.05188003
135,1.320967
136,0.7735229
137,0.71321493
138,1.6370436
139,0.112901166
140,0.24919695
141,0.26089433
142,0.09717685
143,0.25281855
144,0.40944546
145,0.40944546
146,0.40944546
147,0.03753132
148,0.4706697
149,0.070196345
150,0.09217089
151,0.53512627
152,3.360594
153,0.3156822
154,0.083260804
155,0.143279
156,0.19506767
157,0.24677362
158,0.0674771
159,0.16823946
160,1.0438555
161,0.21596457
162,0.5147596
163,0.95453715
164,0.5098175
165,0.098908454
166,0.3997395
167,0.03413535
168,0.48318562
169,0.11419516
170,0.21596457
171,0.53545624
172,0.11529552
173,3.3750403
174,2.0356765
175,2.6349618
176,1.2085812
177,0.47048593
178,0.20896733
179,0.14051893
180,1.3039035
181,0.14286503
182,0.099021904
183,0.18504676
184,0.082127705
185,0.008816299
186,0.11691663
187,0.14467864
188,0.4706697
189,0.4706697
190,0.20319328
191,0.32378712
192,0.73582864
193,0.22002213
194,0.20723197
195,0.103190586
196,0.4805081
197,4.6380434
198,1.5182827
199,5.0320706
200,0.0
201,5.0320706
202,0.15121652
203,1.3990457
204,0.07665657
205,0.96511227
206,0.63621724
207,0.1021295
208,1.5925975
209,0.23074757
210,0.04003214
211,0.067853846
212,0.04504879
213,0.3132329
214,0.09679427
215,0.18681878
216,0.2515101
217,0.16656129
218,1.8437029
219,0.6551949
220,0.034984656
221,3.7910419
222,4.979459
223,1.456348
224,2.3159876
225,0.42314667
226,0.62302816
227,0.21018517
228,0.06143488
229,0.10427411
230,5.131357
231,0.625562
232,0.10689248
233,0.1481629
234,0.06489426
235,0.11722597
236,0.51709735
237,0.9216644
238,0.06069773
239,0.7079725
240,0.2756361
241,0.06233224
242,0.0991095
243,6.292563
244,0.4706697
245,0.23495789
246,1.9463277
247,0.8875335
248,0.59752333
249,0.11616887
250,1.063564
251,0.1615319
252,0.59037304
253,0.7343368
254,0.6303356
255,3.1147616
256,0.5147596
257,0.2094831
258,0.51607984
259,0.13859664
260,0.0
261,0.084359735
262,0.290036
263,0.0
264,0.09985603
265,0.61786336
266,0.035111822
267,0.23428148
268,0.47958604
269,0.23448956
270,0.9288529
271,0.15347062
272,0.100317925
273,1.0533571
274,14.183251
275,0.09315165
276,0.124976195
277,1.1623495
278,0.53751737
279,0.61845845
280,0.18595624
281,0.091229945
282,0.04232338
283,0.308042
284,0.37617803
285,0.1500289
286,0.0
287,0.95697427
288,0.14812882
289,0.18566677
290,0.033096705
291,0.11835309
292,0.34160766
293,0.07282762
294,0.45048952
295,1.1955674
296,0.33781677
297,0.22087543
298,0.0058979494
299,0.20660742
300,0.13656166
301,0.68734115
302,1.3797652
303,0.46800882
304,0.046235695
305,0.0494496
306,0.2394223
307,0.22982717
308,0.17211802
309,1.0438555
310,1.0570539
311,0.5246056
312,0.1268872
313,0.2814025
314,0.019626396
315,0.81183016
316,0.30323055
317,1.932642
318,0.046412602
319,0.15649056
320,0.41802165
321,0.030599747
322,0.6828926
323,0.08350669
324,0.49712446
325,0.50278133
326,0.13334158
327,0.33032048
328,0.3225135
329,0.08569151
330,0.26496127
331,0.06695886
332,0.07467314
333,0.20519349
334,0.28325844
335,0.20899563
336,0.37668192
337,0.54748577
338,0.1662659
339,0.7587388
340,0.04536539
341,0.09056017
342,0.5288794
343,0.569298
344,0.13368955
345,0.0839011
346,4.503385
347,2.4573922
348,0.09839391
349,0.43096322
350,0.23888434
351,0.8445196
352,0.0629109
353,0.2147302
354,0.133733
355,0.3319952
356,0.59840477
357,1.0063331
358,0.27447492
359,0.53401333
360,0.9505972
361,3.838657
362,0.55941147
363,1.0880349
364,0.71694
365,0.45420238
366,0.47048593
367,0.031860683
368,0.062400527
369,0.37230992
370,0.51168305
371,0.8408165
372,0.75637376
373,0.6600492
374,1.7797393
375,2.8784294
376,0.9716992
377,0.22945929
378,0.36212233
379,0.27852705
380,2.7401385
381,0.40310475
382,0.42673296
383,0.18769015
384,1.4100045
385,0.19487019
386,0.5225103
387,1.1666473
388,0.11971702
389,0.21155164
390,0.034211118
391,0.116414316
392,0.0683099
393,0.30175713
394,0.059675515
395,0.0
396,2.2063303
397,1.389571
398,0.034324165
399,0.23671542
400,0.4168416
401,0.24377854
402,4.576923
403,4.6972346
404,2.0008194
405,0.19580965
406,0.11518116
407,0.0226619
408,0.14128576
409,5.658848
410,0.4706697
411,1.650747
412,0.17668521
413,0.5840421
414,0.058006953
415,5.0334253
416,1.4301728
417,5.658848
418,4.181917
419,0.46981665
420,0.57574904
421,2.3276832
422,0.36471277
423,1.0133041
424,0.35675943
425,0.35411876
426,4.894859
427,0.54318756
428,1.0333644
429,0.116426915
430,1.4330063
431,1.0339597
432,0.053663027
433,0.15205166
434,0.08930578
435,1.2017703
436,0.04115293
437,0.6197463
438,0.27522326
439,0.33719212
440,0.14023228
441,0.22851284
442,0.31310207
443,0.21722797
444,0.35898608
445,1.1605091
446,0.35521019
447,0.34478626
448,0.36914194
449,0.4365293
450,0.30834103
451,0.2926425
452,0.29562783
453,0.09079514
454,0.5029006
455,0.24653402
456,0.69334984
457,0.0014580522
458,1.4392705
459,0.9353539
460,19.127611
461,1.0339804
462,0.27373344
463,0.28810516
464,0.9421534
465,0.53597933
466,0.27083656
467,0.5288794
468,0.16389243
469,0.17648584
470,0.31690127
471,0.34743658
472,0.080471404
473,0.017158333
474,0.6985213
475,0.29422644
476,0.014111737
477,0.14343628
478,0.061294056
479,0.15347473
480,0.16235119
481,0.16235119
482,0.12660779
483,0.28726086
484,0.44399747
485,0.36412993
486,0.79240763
487,0.35527545
488,0.20653106
489,2.4801688
490,0.29550448
491,0.053431552
492,1.0509747
493,0.0
494,0.26111054
495,0.08134561
496,0.09484209
497,6.292563
498,2.7731206
499,0.5075471
500,6.292563
501,0.23767571
502,0.74589527
503,0.08075449
504,0.64814526
505,1.0617167
506,1.3403417
507,0.10601141
508,0.9380613
509,0.31151676
510,0.22555304
511,0.12796089
512,0.14680122
513,0.46981665
514,0.068240955
515,5.148653
516,0.1530674
517,0.5395979
518,1.0097965
519,0.54494184
520,0.43409044
521,0.20681801
522,1.2171024
523,1.1794708
524,0.10894729
525,0.9198585
526,0.177372
527,0.14329846
528,0.039734554
529,0.036695663
530,0.6495861
531,0.3828507
532,0.14583804
533,0.07513062
534,0.0018821381
535,0.04599834
536,4.6428065
537,0.08785858
538,0.050554264
539,0.13286877
540,0.6185753
541,5.658848
542,0.0
543,0.08428851
544,0.19722694
545,0.070863314
546,0.31042504
547,0.23674504
548,0.12435348
549,0.09463457
550,0.0
551,0.44038963
552,1.3038605
553,0.16916907
554,0.05887238
555,0.03378222
556,0.13000679
557,0.27378082
558,0.0
559,0.29855037
560,0.12431589
561,0.95527595
562,0.10218694
563,0.020975213
564,0.03985734
565,0.09109308
566,0.14315917
567,0.10139167
568,0.5607773
569,0.15399782
570,0.2215761
571,0.7553402
572,1.44618
573,0.14883086
574,0.0
575,0.11892223
576,0.37257487
577,0.46981665
578,4.6866508
579,0.16867465
580,3.9762468e-05
581,0.0047375974
582,0.00012040802
583,0.013408702
584,0.57142407
585,0.17425567
586,0.13851042
587,0.61968344
588,3.5890832
589,0.0
590,1.798136
591,0.52770364
592,3.5767314
593,0.05787653
594,0.18800597
595,0.25897893
596,0.14894216
597,0.033187497
598,0.077061094
599,0.023196615
600,0.06146125
601,0.0
602,0.005761934
603,0.037127554
604,0.08863268
605,0.08502903
606,0.14829426
607,0.2488236
608,0.077662654
609,0.22007225
610,0.055582333
611,0.9947719
612,0.0
613,0.0
614,0.0
615,1.7820138
616,0.0
617,0.46016943
618,0.7391222
619,0.134188
620,0.32909745
621,6.292563
622,0.24211793
623,0.61601657
624,0.92592627
625,0.03398181
626,0.31360602
627,0.15091906
628,0.121364415
629,0.24959357
630,0.11627049
631,0.0
632,0.1849882
633,0.15177406
634,0.37749475
635,0.1998789
636,0.41142306
637,0.13106744
638,0.19533952
639,0.1869245
640,0.5601785
641,1.0719072
642,0.47303605
643,0.06613537
644,0.059625074
645,0.41142306
646,0.38285765
647,0.03354545
648,0.022955062
649,0.39387918
650,0.17462268
651,1.1604612
652,0.37040246
653,0.09523144
654,0.27899373
655,0.33412945
656,0.9632892
657,0.07199977
658,0.03205295
659,0.092948966
660,0.41482413
661,0.22299848
662,0.001014665
663,0.7686296
664,0.0
665,0.5859672
666,0.08467331
667,0.4706697
668,0.6631233
669,0.75266796
670,0.023050837
671,0.21414712
672,0.07299253
673,0.7980562
674,0.058186077
675,0.30082092
676,0.6031706
677,0.702103
678,0.44392207
679,0.08484067
680,0.027707998
681,0.098257184
682,0.06657292
683,0.0
684,0.6631233
685,0.49148968
686,0.9851837
687,0.81379503
688,0.12510507
689,0.06695886
690,0.039782543
691,0.11473219
692,0.10218694
693,0.14463219
694,0.08413201
695,0.7749159
696,0.11806919
697,0.06280603
698,0.16337031
699,0.71164525
700,1.8161798
701,0.1314381
702,1.7466956
703,1.4234557
704,0.07424619
705,0.41142306
706,0.031275257
707,0.07220979
708,0.1317832
709,3.1457014
710,0.2216454
711,0.38452014
712,0.097460724
713,0.5761749
714,0.1751592
715,0.10790935
716,0.31072333
717,0.21496226
718,0.0
719,0.9721581
720,0.08437038
721,0.43817046
722,0.29556307
723,2.3271248
724,0.08161263
725,0.3052696
726,1.1610246
727,0.89944077
728,0.11806919
729,1.764739
730,0.080190055
731,0.089846
732,1.3804094
733,0.54224837
734,1.6449333
735,0.1254165
736,0.082392715
737,0.34545034
738,0.17678334
739,0.17555954
740,0.11396612
741,0.1263194
742,0.101215445
743,0.9232182
744,1.1472267
745,0.5937521
746,0.88323617
747,1.0174644
748,1.0009087
749,0.10686532
750,0.23384058
751,0.03812979
752,0.3863612
753,0.1947232
754,2.0160887
755,0.78804874
756,0.021916961
757,0.20873852
758,0.032911286
759,0.24828714
760,0.68698615
761,0.29541144
762,0.3153023
763,1.3093911
764,0.20077617
